target sound,pyth inst,gene inst,pyth dist,gene dist,pyth dbgen,gene dbgen
archeos-bell,Tbn-B1-pp,ClBb-ord-B3-pp,508,2803,3323,6436
,ClBb-B3-pp,ClBb-ord-B3-pp,,,,
,,Bn-ord-C4-pp,,,,
,,Bn-ord-G$\#$3-pp,,,,
,,Hn-ord-B3-pp,,,,
,,Va-ord-B3-pp,,,,
,,,,,,
bass_clarinet,Tbn-ord-A$\#$1-ff, Bn-ord-A$\#$1-mf,1114,6074,4785,14153
,ClBb-C5-pp,,,,,
,ClBb-F3-pp,,,,,
,,,,,,
Beethoven_chord2,Btb-ord-G$\#$2-mf,Fl-ord-E5-pp,490,2401,1145,2513
,Tbn-ord-C$\#$2-mf,Fl-ord-E5-pp,,,,
,Tbn-ord-D3-pp,Ob-ord-E5-pp,,,,
,TpC-ord-E4-pp,Ob-ord-E5-mf,,,,
,Cb-ord-B1-mf-4c,ClBb-ord-F3-pp,,,,
,Cb-ord-G$\#$1-mf-4c,ClBb-ord-B3-pp,,,,
,Cb-ord-G$\#$4-pp-1c,Bn-ord-E3-pp,,, ,
,Vc-ord-C2-pp-4c,Bn-ord-E4-mf,,,,
,Vc-ord-C3-mf-3c,Hn-ord-G$\#$1-mf,,,,
,ClBb-ord-B4-pp,Hn-ord-G$\#$1-mf,,,,
,ClBb-ord-E3-pp,TpC-ord-E4-pp,,,,
,Fl-ord-B3-pp,TpC-ord-B5-mf,,,,
,Fl-ord-E5-pp,Tbn-ord-G$\#$2-ff,,,,
,,Tbn-ord-G$\#$2-mf,,,,
,,Vn-ord-B6-pp-1c,,,,
,,Vn-ord-B3-ff-4c,,,,
,,Va-ord-E3-pp-4c,,,,
,,Va-ord-F3-mf-4c,,,,
,,Vc-ord-D$\#$2-pp-4c,,,,
,,Vc-ord-G$\#$2-ff-3c,,,,
,,Cb-ord-B4-ff-1c,,,,
,,Cb-ord-G$\#$1-ff-4c,,,,
,,,,,,
boat_docking,Btb-ord-G$\#$1-mf,ClBb-ord-A$\#$3-pp,463,2363,1470,3922
,Tbn-ord-A$\#$0-pp,Tbn-ord-A$\#$0-pp,,,,
,Tbn-ord-B1-pp,Vc-ord-F$\#$2-pp-4c,,,,
,Cb-ord-C$\#$2-pp,Cb-ord-B1-pp-3c,,,,
,Cb-ord-C2-pp,Cb-ord-G1-pp-4c,,,,
,Vc-ord-C2-pp,,,,,
,Vc-ord-F$\#$2-pp-4c,,,,,
,ClBb-ord-A$\#$3-pp,,,,,
,ClBb-ord-D$\#$3-pp,,,,,
,Fl-ord-B3-mf,,,,,
,Fl-ord-F$\#$4,,,,,
,,,,,,
car-horn,Hn-G$\#$4-pp,Hn-ord-C5-mf,1017,3968,1674,9414
,Tbn-G$\#$2-pp,Tbn-ord-G$\#$4-ff,,,,
,TpC-G$\#$4-mf,,,,,
,TpC-G$\#$4-pp,,,,,
,Cb-C3-pp,,,,,
,Va-G$\#$4-mf,,,,,
,Va-G$\#$4-pp,,,,,
,Vc-G$\#$4-ff,,,,,
,Vc-G$\#$5-pp,,,,,
,Bn-G$\#$4-mf,,,,,
,ClBb-C5-mf,,,,,
,ClBb-D$\#$6-mf,,,,,
,Fl-G$\#$4-mf,,,,,
,Fl-G$\#$5-mf,,,,,
,Ob-G$\#$4-pp,,,,,
,,,,,,
girl-scream,TpC-ord-A$\#$5-ff,Vn-ord-D$\#$5-pp-2c,2651,3581,4096,4555
,TpC-ord-C6-ff,Vn-ord-C7-ff-1c,,,,
,Cb-ord-A$\#$4-ff-1c,Va-ord-E5-ff-1c,,,,
,Cb-ord-F$\#$4-ff-1c,Va-ord-C$\#$6-ff-1c,,,,
,Va-ord-B5-ff-1c,Vc-ord-F$\#$5-ff-1c,,,,
,Va-ord-C$\#$6-ff-1c,Vc-ord-F5-ff-1c,,,,
,Va-ord-G6-pp-1c,,,,,
,Vc-ord-B5-ff-1c,,,,,
,Vc-ord-B5-mf-1c,,,,,
,Vc-ord-G6-pp-1c,,,,,
,Vn-ord-G6-pp-1c,,,,,
,ClBb-ord-E6-pp,,,,,
,ClBb-ord-F6-ff,,,,,
,Fl-ord-C7-ff,,,,,
,Fl-ord-D7-p,,,,,
,Ob-ord-A6-pp,,,,,
,Ob-ord-F$\#$6-pp,,,,,
,,,,,,
WinchesterBell,BTb-ord-D$\#$4-pp,Fl-ord-F5-pp,897,2302,3097,3434
,Hn-ord-C4-pp,Hn-ord-C4-mf,,,,
,Cb-ord-D$\#$4-pp-1c,Hn-ord-D$\#$3-pp,,,,
,Cb-ord-G4-ff-1c,Tbn-ord-C4-pp,,,,
,ClBb-ord-C4-pp,Tbn-ord-C4-pp,,,,
,ClBb-ord-C5-pp,Va-ord-D$\#$3-pp-4c,,,,
,Fl-F5-mf,Vc-ord-C3-pp-3c,,,,
,,Cb-ord-D$\#$3-pp-1c,,,,
,,,,,,
wind-harp,BTb-C4-pp,ClBb-ord-G3-pp,736,1656,3101,6288
,BTb-G3-pp,Bn-ord-C2-pp,,,,
,Hn-E4-pp,,,,,
,Tbn-C2-mf,,,,,
,Tbn-G3-pp,,,,,
,ClBb-G3-pp,,,,,
,,,,,,
YaBn-mul-PG-ST12,Tbn-D3-pp,Bn-D$\#$4-pp,757,5660,1304,8255
,Tbn-E2-pp,Hn-A4-pp,,,,
,Cb-A4-pp-1c,Cb-D$\#$4-pp-1c,,,,
,Cb-E3-pp-1c,,,,,
,ClBb-ord-D$\#$3-pp,,,,,
,Fl-ord-A$\#$4-pp,,,,,
,Fl-ord-D$\#$4-pp,,,,,
